AID	A
158	Verbinden van leidingen
159	Verbinden van leidingen in een hoek
160	Verbinden van leidingen met verschillend materiaal of verbindingstype
161	Verbinden van leidingen met verschillende diameter
162	Verbinden van vier leidingen
163	Verbinding tussen oppervlaktewater
164	Verdedigen van oever
165	Verfraaien
166	Verhinderen dat opdrijvend materiaal afstroomt
167	Vermindering waterslageffect
168	Verplaatsen van water
169	Verpompen van afvalwater
170	Verpompen van water
171	Verversen
172	Verwijderen fosfaat
173	Verwijderen opgedreven delen
174	Verwijderen stikstof
175	Verwijderen vervuiling
176	Verwijderen zwevende stoffen
177	Volledig keren van water
178	Voorkomen dat stromen elkaar raken
179	Voorkomen stank
180	Voortgeleiding van energie
181	Voortgeleiding van materie
182	Voortgeleiding van signaal
183	Waterdicht maken
184	Waterniveau in stelsel regelen
185	Weren van fauna
186	Weren van fietsers
187	Weren van vee
188	Weren van verkeer
189	Weren van wild
190	Zitgelegenheid faciliteren
191	Zuiveren afvalwater
192	Verlichten van een winkelgebied
193	Verlichten van een fietspad
194	Verlichten van een industriegebied
195	Verlichten van een wijkontsluitingsweg
196	Verlichten van een woonwijk
197	Verlichten van een hoofdweg
198	Verlichten
199	Verlichten voor oriëntatie
200	Verlichten ter verfraaiing
201	Faciliteren van klimmen
202	Natuurlijk spelen
203	Parkeren
204	Natuurontwikkeling
205	Recreatief gebruik
206	Weren van honden
207	Inzamelen hemelwater en afgifte aan ondergrond
208	Zonder toestandswijziging
209	Aanvoer van grondwater
210	Beluchten leiding
211	Gebruik door beroepsvaart
212	Gebruik door pleziervaart
213	Graven herbergen
214	Keren van schepen via zwaaiplaats
215	Omgeven van deksel of kolk
216	Ontluchten van een leiding
217	Recreatief vissen in oppervlaktewater
218	Schaatsen op oppervlaktewater
219	Verbinden van twee leidingen
220	Zwemmen in oppervlaktewater
